,CITY,lat_lngs,latitude,longitude,temp,max_temp,humidity,wind_speed,cloudiness,country,date
71,sehithwa,"(-20.25722420399191, 22.691970212674363)",-20.25722420399191,22.691970212674363,73.83,73.83,65,11.56,0,BW,1581542951
72,ixtapa,"(11.03059001397979, -105.4850660352506)",11.03059001397979,-105.4850660352506,77.47,78.01,69,10.29,90,MX,1581542951
73,jamestown,"(-39.64212570655254, -17.441830737590152)",-39.64212570655254,-17.441830737590152,34.88,37.4,55,9.17,20,US,1581542794
74,saint-philippe,"(-35.65911907455451, 58.835561740707504)",-35.65911907455451,58.835561740707504,75.49,80.6,78,5.82,99,RE,1581542870
75,chapais,"(48.587807746699724, -75.49011205955242)",48.587807746699724,-75.49011205955242,23,23,85,11.41,90,CA,1581542951
76,bilibino,"(68.9878971717171, 166.90683172350595)",68.9878971717171,166.90683172350595,-17.32,-17.32,96,3.31,0,RU,1581542876
77,prince rupert,"(50.699857016905725, -132.1400866283551)",50.699857016905725,-132.1400866283551,37.4,37.4,86,16.11,90,CA,1581542952
78,nome,"(72.40140820426774, -164.74259737147437)",72.40140820426774,-164.74259737147437,-5.94,-4,63,2.13,1,US,1581542858
79,geraldton,"(-29.257530846187407, 115.23864221491618)",-29.257530846187407,115.23864221491618,73.4,73.4,83,6.93,75,AU,1581542867
80,imbituba,"(-28.37170887021302, -47.47940904417587)",-28.37170887021302,-47.47940904417587,71.6,71.6,100,5.82,75,BR,1581542916
81,milkovo,"(55.33454185871605, 157.58460614817233)",55.33454185871605,157.58460614817233,1.15,1.15,93,1.19,39,RU,1581542952
82,longyearbyen,"(89.52220953133704, 22.981642883805478)",89.52220953133704,22.981642883805478,5,5,60,12.75,20,SJ,1581542880
83,thompson,"(64.16539817063205, -91.77063397582045)",64.16539817063205,-91.77063397582045,-14.8,-14.8,62,14.99,90,CA,1581542868
84,ginir,"(7.365333576907801, 40.64765489082015)",7.365333576907801,40.64765489082015,63.01,63.01,75,2.28,66,ET,1581542953
85,alyangula,"(-15.160350641870451, 137.0645052065172)",-15.160350641870451,137.0645052065172,84.2,84.2,83,4.7,31,AU,1581542953
86,tual,"(-6.951404238279011, 131.35527494015622)",-6.951404238279011,131.35527494015622,82.8,82.8,77,14.36,72,ID,1581542924
87,lodja,"(-1.3980065001330644, 22.761451423143654)",-1.3980065001330644,22.761451423143654,73.81,73.81,84,1.79,96,CD,1581542954
88,kensington,"(46.38078112529689, -63.70009861841548)",46.38078112529689,-63.70009861841548,72.64,73.99,94,3.36,90,AU,1581542945
89,tiksi,"(73.59379271313799, 125.45058326515846)",73.59379271313799,125.45058326515846,-27.63,-27.63,91,5.37,36,RU,1581542856
90,luderitz,"(-32.66402345312816, 3.1183339054508963)",-32.66402345312816,3.1183339054508963,66.2,66.2,82,4.7,1,NA,1581542871
91,arraial do cabo,"(-31.005798639919583, -36.20769560929992)",-31.005798639919583,-36.20769560929992,71.6,71.6,94,11.41,90,BR,1581542954
92,beidao,"(34.580524863580294, 105.76067931042365)",34.580524863580294,105.76067931042365,34.48,34.48,92,3.31,0,CN,1581542954
93,trinidad,"(20.372025393487874, -79.72655103246058)",20.372025393487874,-79.72655103246058,82.4,82.4,83,3.36,75,BO,1581542955
94,marawi,"(19.915115399984415, 31.646384911708992)",19.915115399984415,31.646384911708992,73,73,90,4,99,PH,1581542955
95,busselton,"(-58.19329375764503, 102.4956569477232)",-58.19329375764503,102.4956569477232,66.9,71.01,49,9.64,0,AU,1581542872
96,byron bay,"(-27.182996479697252, 160.1054317256594)",-27.182996479697252,160.1054317256594,71.35,73,100,10.29,100,AU,1581542955
97,cape town,"(-79.03968912960387, -16.16832303689867)",-79.03968912960387,-16.16832303689867,65.35,68,88,6.93,3,ZA,1581542938
98,oda,"(36.25035513234717, 131.86031004934534)",36.25035513234717,131.86031004934534,55.4,55.4,76,19.46,75,JP,1581542955
99,san vicente,"(18.861801198759863, 124.26442102371044)",18.861801198759863,124.26442102371044,80.01,80.01,84,1.66,62,AR,1581542956
100,chifeng,"(43.752216914745276, 118.08390790356896)",43.752216914745276,118.08390790356896,30.36,30.36,66,7.43,31,CN,1581542911
101,east london,"(-63.20002475295973, 49.11857232784277)",-63.20002475295973,49.11857232784277,74.59,74.59,75,21.09,49,ZA,1581542956
102,namatanai,"(3.356911452686191, 160.63648934897356)",3.356911452686191,160.63648934897356,83.16,83.16,77,17.63,87,PG,1581542956
103,kualakapuas,"(-3.3005806454146835, 114.23170529779674)",-3.3005806454146835,114.23170529779674,75.11,75.11,95,1.12,48,ID,1581542956
104,leningradskiy,"(78.29945027228516, 178.2824525423719)",78.29945027228516,178.2824525423719,-17.03,-17.03,96,10.78,0,RU,1581542929
105,chokurdakh,"(70.2216751501768, 149.32638978690034)",70.2216751501768,149.32638978690034,-24.61,-24.61,81,2.91,100,RU,1581542885
106,ancud,"(-39.04557893361798, -102.81581206732433)",-39.04557893361798,-102.81581206732433,62.6,62.6,51,11.41,20,CL,1581542899
107,husavik,"(70.06423513123335, -15.449697072314592)",70.06423513123335,-15.449697072314592,23,23,67,11.41,75,IS,1581542911
108,cherskiy,"(76.71023671819123, 163.87892103213068)",76.71023671819123,163.87892103213068,-12.01,-12.01,73,4.97,0,RU,1581542933
109,caravelas,"(-22.890734746009713, -24.255505962113887)",-22.890734746009713,-24.255505962113887,81.07,81.07,80,11.5,46,BR,1581542926
110,poum,"(-21.51694955636438, 161.3348536576512)",-21.51694955636438,161.3348536576512,81.84,81.84,85,13.85,65,NC,1581542958
111,tomatlan,"(18.288825332783276, -109.35934313679797)",18.288825332783276,-109.35934313679797,87.75,87.75,29,4.59,99,MX,1581542958
112,rio gallegos,"(-51.33842258419635, -66.46787942584982)",-51.33842258419635,-66.46787942584982,62.6,62.6,29,21.92,40,AR,1581542902
113,carupano,"(10.812890661999305, -62.439737717713456)",10.812890661999305,-62.439737717713456,79.56,79.56,78,5.35,4,VE,1581542958
114,grindavik,"(54.832146489443005, -25.320938322862844)",54.832146489443005,-25.320938322862844,24.71,26.6,92,4.7,40,IS,1581542958
115,bambous virieux,"(-22.208356428134493, 60.49637480361042)",-22.208356428134493,60.49637480361042,79.92,80.6,83,12.75,40,MU,1581542958
116,ponta do sol,"(17.779880426420434, -32.41251752263938)",17.779880426420434,-32.41251752263938,60.67,64.4,72,5.82,20,PT,1581542959
117,robertsport,"(2.283094324461416, -14.758413090850212)",2.283094324461416,-14.758413090850212,81.81,81.81,83,13,83,LR,1581542959
118,puerto ayora,"(-23.063652380554203, -102.23474377696299)",-23.063652380554203,-102.23474377696299,86,86,66,20.8,40,EC,1581542959
119,mirnyy,"(63.60566820209684, 114.17453589378619)",63.60566820209684,114.17453589378619,-13,-13,83,11.18,56,RU,1581542939
120,stavrovo,"(56.16359757088847, 39.90563575910477)",56.16359757088847,39.90563575910477,22.28,22.28,92,9.55,100,RU,1581542959
121,yulara,"(-23.420782086532725, 131.6548809400652)",-23.420782086532725,131.6548809400652,84.2,84.2,26,8.05,0,AU,1581542959
123,ribeira grande,"(31.594257473125126, -35.89560212406471)",31.594257473125126,-35.89560212406471,59,59,87,5.82,20,PT,1581542860
124,fortuna,"(39.31362427055495, -137.62840174440154)",39.31362427055495,-137.62840174440154,52.27,55,81,14.99,20,US,1581542960
125,atar,"(24.217801791575766, -12.357084981418467)",24.217801791575766,-12.357084981418467,77.02,77.02,21,11.45,0,MR,1581542914
126,hofn,"(57.80062235596523, -15.321393722895465)",57.80062235596523,-15.321393722895465,28.15,28.15,82,23.33,100,IS,1581542899
127,saint george,"(28.681022356601872, -45.812693975279956)",28.681022356601872,-45.812693975279956,51.15,54,21,2.89,1,US,1581542960
128,kamskiye polyany,"(55.55825540823318, 51.04596432934832)",55.55825540823318,51.04596432934832,17.6,17.6,67,13.42,100,RU,1581542960
129,minab,"(26.41001312303399, 58.80097041100791)",26.41001312303399,58.80097041100791,53.6,53.6,71,4.7,0,IR,1581542961
130,zhuzhou,"(27.87074758192675, 113.14958206342715)",27.87074758192675,113.14958206342715,55.4,55.4,100,6.71,90,CN,1581542961
131,norman wells,"(63.53423274089744, -130.31619074815654)",63.53423274089744,-130.31619074815654,-14.8,-14.8,68,9.17,75,CA,1581542856
132,soe,"(-11.818717885099034, 125.0443900260048)",-11.818717885099034,125.0443900260048,74.19,74.19,84,4.5,100,ID,1581542961
133,airai,"(6.884923803461646, 138.47378287791008)",6.884923803461646,138.47378287791008,67.89,67.89,88,3.42,97,TL,1581542895
134,zhigansk,"(68.18538890683112, 121.81698388663779)",68.18538890683112,121.81698388663779,-35.23,-35.23,96,0.38,1,RU,1581542928
